Timestamp,xAxis,yAxis,zAxis
1715609501.8114164,340,393,320
1715609501.8124158,340,393,321
1715609501.8124158,340,394,320
1715609501.8154163,340,394,320
1715609501.8164167,340,394,320
1715609501.8164167,340,394,320
1715609501.8164167,339,394,320
1715609501.8195765,339,394,320
1715609501.8205795,339,394,320
1715609501.8205795,340,394,321
1715609501.8236108,340,394,320
1715609501.8245773,340,394,320
1715609501.8245773,340,394,320
1715609501.8245773,340,394,321
1715609501.8276017,340,394,321
1715609501.8286042,340,394,320
1715609501.8286042,340,393,320
1715609501.8286042,340,393,320
1715609501.832601,340,393,321
1715609501.832601,340,393,321
1715609501.832601,340,393,321
1715609501.8366003,340,393,321
1715609501.8366003,340,393,321
1715609501.8366003,340,393,321
1715609501.837105,340,393,321
1715609501.8401103,340,393,320
1715609501.8401103,340,393,320
1715609501.841111,340,393,321
1715609501.841111,340,393,321
1715609501.844112,339,393,320
1715609501.8451111,340,393,320
1715609501.8451111,339,394,321
1715609501.8486297,340,394,321
1715609501.8486297,340,393,321
1715609501.8496265,340,394,321
1715609501.8496265,340,394,321
1715609501.8526332,340,393,320
1715609501.8526332,340,393,320
1715609501.8526332,340,393,320
1715609501.853633,340,393,320
1715609501.857138,340,394,320
1715609501.857138,340,394,320
1715609501.857138,340,394,320
1715609501.857138,340,394,320
1715609501.8611445,339,394,320
1715609501.8611445,340,394,320
1715609501.8611445,340,394,320
1715609501.8651452,340,394,320
1715609501.8651452,340,394,320
1715609501.8651452,340,394,320
1715609501.8651452,340,394,320
1715609501.868661,339,394,321
1715609501.869667,340,393,321
1715609501.869667,339,394,320
1715609501.869667,339,394,320
1715609501.8726664,340,394,320
1715609501.873667,340,393,320
1715609501.873667,339,393,320
1715609501.876678,339,394,320
1715609501.8776865,340,394,320
1715609501.8776865,340,394,320
1715609501.878688,339,394,320
1715609501.8816948,339,394,320
1715609501.8816948,339,394,320
1715609501.8816948,339,393,320
1715609501.8816948,339,393,320
1715609501.8847284,339,393,320
1715609501.8847284,339,394,320
1715609501.8863358,340,394,320
1715609501.8863358,340,393,321
1715609501.8892434,340,393,321
1715609501.8902428,340,393,321
1715609501.8902428,340,393,321
1715609501.8932428,340,393,320
1715609501.8942435,340,393,320
1715609501.8942435,340,394,320
1715609501.8942435,340,394,320
1715609501.8973145,339,393,320
1715609501.8983145,340,394,320
1715609501.8983145,340,394,320
1715609501.8983145,339,394,320
1715609501.9023137,340,393,320
1715609501.9023137,340,394,320
1715609501.9023137,340,393,320
1715609501.9048264,339,393,320
1715609501.906331,339,393,320
1715609501.906331,339,394,320
1715609501.906331,339,394,320
1715609501.9103506,339,394,321
1715609501.9103506,339,393,320
1715609501.9113483,340,393,321
1715609501.9113483,340,393,321
